token	corpus size	all contexts size	frequency	co-frequency	specificity
பெற்ற	109600	2670	47	12	9.03
படம்	109600	2670	262	25	8.14
உடனே	109600	2670	17	7	7.11
நீங்கள்	109600	2670	83	13	7.01
முதன்	109600	2670	20	7	6.55
முதலாக	109600	2670	20	7	6.55
தொடங்குன	109600	2670	4	4	6.45
ஹிட்..	109600	2670	4	4	6.45
எடுத்து	109600	2670	43	9	6.14
புகழ்	109600	2670	15	6	6.08
நிறைய	109600	2670	33	8	6.04
ISO	109600	2670	18	6	5.54
அந்த	109600	2670	209	18	5.47
எப்படி	109600	2670	97	12	5.42
அருமையான	109600	2670	32	7	5.04
இரவு	109600	2670	22	6	4.98
சிற்பங்களை	109600	2670	3	3	4.84
வைத்திருந்தேன்.	109600	2670	3	3	4.84
கமராவிலேயே	109600	2670	3	3	4.84
பிடித்திருக்கிரார்கள்.	109600	2670	3	3	4.84
செய்ய்யுது,	109600	2670	3	3	4.84
மூடித்தறக்குது,	109600	2670	3	3	4.84
பதிவாகின்றது	109600	2670	3	3	4.84
யோசிக்கத்தேவையில்லை.	109600	2670	3	3	4.84
'இந்த	109600	2670	3	3	4.84
விஸ்வரூபம்	109600	2670	4	3	4.25
ஹளேபீடு	109600	2670	4	3	4.25
பிடிக்க	109600	2670	4	3	4.25
நடித்த	109600	2670	30	6	4.17
எடுக்கும்	109600	2670	30	6	4.17
அன்பே	109600	2670	11	4	4.01
எனக்கும்	109600	2670	11	4	4.01
ஒரு	109600	2670	861	39	3.97
இடம்	109600	2670	33	6	3.93
திரையரங்குகளில்	109600	2670	5	3	3.86
shutter	109600	2670	5	3	3.86
அழகாக	109600	2670	5	3	3.86
சிவம்	109600	2670	5	3	3.86
தான்	109600	2670	125	11	3.70
செய்தால்	109600	2670	6	3	3.57
விழியன்	109600	2670	6	3	3.57
400	109600	2670	6	3	3.57
இருக்கு	109600	2670	14	4	3.56
மாதிரி	109600	2670	40	6	3.46
எடுக்க	109600	2670	57	7	3.41
நடிகர்	109600	2670	41	6	3.40
எல்லாம்	109600	2670	41	6	3.40
பார்த்து	109600	2670	27	5	3.40
கமரா	109600	2670	27	5	3.40
சென்றபோது	109600	2670	7	3	3.34
எடுப்பது	109600	2670	16	4	3.32
